,noticias,personas_detectadas
1785,"Murió a los 54 años Ignacio Moreno, exsubsecretario de Minería en el segundo gobierno de Michelle Bachelet                      
                    ","['Ignacio Moreno', 'Michelle Bachelet']"
1797,"Irina Karamanos respondió a Marcela Vacarezza tras críticas por su visión sobre rol de Primera Dama                      
                    ","['Irina Karamanos', 'Marcela Vacarezza']"
1799,"Raúl Sohr: Cumbre del G20 en India ""fue menos gravitante de lo esperado"", pero Narendra Modi sacó cuentas alegres                      
                    ","['Raúl Sohr', 'Narendra Modi']"
1801,"Nueva presidencia de RN: Paulina Núñez reconoce derrota ante Rodrigo Galilea                      
                    ","['Paulina Núñez', 'Rodrigo Galilea']"
1802,"Rodrigo Galilea supera a Paulina Núñez y asume la presidencia de RN                      
                    ","['Rodrigo Galilea', 'Paulina Núñez']"
1828,"Mónica Rincón y las críticas misóginas contra ministra Carolina Arredondo: ""Dejemos ese machismo que inunda las redes""                      
                    ","['Mónica Rincón', 'Carolina Arredondo']"
1830,"Elecciones en RN: Paulina Núñez y Rodrigo Galilea pasan a segunda vuelta                      
                    ","['Paulina Núñez', 'Rodrigo Galilea']"
1846,"Ministra Tohá por polémicos dichos de Carlos Larraín: ""No pisamos ese palito""                      
                    ","['Ministra Tohá', 'Carlos Larraín']"
1853,"Corte de Santiago rechazó la solicitud de desafuero presentada por Juan Sutil en contra del diputado Diego Ibáñez                      
                    ","['Juan Sutil', 'Diego Ibáñez']"
1873,"Irina Karamanos tras renuncia de subsecretaria Andrea Gutiérrez: ""Lamento que tenga que seguir otro rumbo""                      
                    ","['Irina Karamanos', 'Andrea Gutiérrez']"
1900,"""A Pedro Sánchez la oposición de derecha le ha salido muy dura"": Raúl Sohr y el futuro de las elecciones generales de España                      
                    ","['Pedro Sánchez', 'Raúl Sohr']"
1929,"Pepe Auth: ""El presidente Boric ofrendó la cabeza de Patricio Fernández al PC y al movimiento de DD.HH.""                      
                    ","['Pepe Auth', 'Patricio Fernández']"
1930,"Senador Karim Bianchi por Caso Convenios: ""Le están entregando en bandeja el Gobierno próximo a la derecha""                      
                    ","['Karim Bianchi', 'Caso Convenios']"
1933,"Tras dichos de Catalina Pérez: Ministra Vallejo dice que ""tiene derecho a la defensa"" y apunta a ""descriterio político""                      
                    ","['Catalina Pérez', 'Ministra Vallejo']"
1936,"Hugo Herrera espera más ""realismo político"" del Gobierno tras Caso Convenios: ""Más Carolina Tohá, menos Giorgio Jackson""                      
                    ","['Hugo Herrera', 'Más Carolina Tohá', 'Giorgio Jackson']"
1981,"Interpelación a Carolina Tohá: Oficialismo acusa que asesor del Ejército colaboró con Andrés Longton en libelo                      
                    ","['Carolina Tohá', 'Andrés Longton']"
