,noticias,personas_detectadas
6519,  Revolución Democrática  Cambio de directiva nacional en RD: asume Diego Vela como presidente y Tatiana Urrutia en la secretaría general,"['Diego Vela', 'Tatiana Urrutia']"
6536,  Ricardo Cifuentes  Ricardo Cifuentes califica de “gravísimo” pronunciamiento del presidente de la CPC a favor del texto de nueva Constitución,"['Ricardo Cifuentes', 'Ricardo Cifuentes']"
6564,  Patricio Fernández  “No había una ideología”: Patricio Fernández dice que la izquierda ha hecho “una pésima lectura” del estallido social   ,"['Patricio Fernández', 'Patricio Fernández']"
6585,  Miguel Crispi  Cordero plantea que resolución de Contraloría sobre Miguel Crispi fijará un “precedente” y tendrá “consecuencias futuras”,"['Miguel Crispi  Cordero', 'Miguel Crispi']"
6589,  Miguel Crispi  Ministra Camila Vallejo por ausencia de Miguel Crispi en Comisión: “Aquí no hay nada que esconder y todas las respuestas a las inquietudes se han presentado transparentemente”,"['Miguel Crispi  Ministra Camila Vallejo', 'Miguel Crispi']"
6605,  Nueva Constitución  Consejo Constitucional: Javier Macaya insta a líderes oficialistas a explicitar temas que desaprueban y Paulina Vodanovic insiste en que “no es una lista de supermercado”,"['Javier Macaya', 'Paulina Vodanovic']"
6606,  Bárbara Figueroa  Bárbara Figueroa defiende divergencia del PC con veto a Ley de Usurpaciones y dice que el partido siempre ha votado alineado con el gobierno ,"['Bárbara Figueroa  Bárbara Figueroa', 'Ley de Usurpaciones']"
6608,  La Moneda  Presidente Gabriel Boric realiza homenaje al artista José Venturelli en China: “Fue un luchador incansable por la paz”,"['Gabriel Boric', 'José Venturelli']"
6610,"  Alejandro Kusanovic  Senador Alejandro Kusanovic (Ind.-RN): “Estoy muy tentado de votar ‘En contra’, porque estamos resolviendo el problema equivocado”","['Alejandro Kusanovic  Senador', 'Alejandro Kusanovic']"
6648,  Presupuesto  RN escala ofensiva contra Javiera Martínez: no la dejarán entrar a sala en la discusión de Ley de Presupuesto ,"['Javiera Martínez', 'Ley de Presupuesto']"
6671,  Oficialismo  Diputado PPD Raúl Soto dice ver a Carolina Tohá y Camila Vallejo “ansiosas” por la carrera presidencial,"['Raúl Soto', 'Carolina Tohá', 'Camila Vallejo']"
6685,  José Antonio Kast  Consejo Constitucional: José Antonio Kast dice que “no van a transar” en la redacción de la norma “que protege la vida de quien está por nacer”,"['José Antonio Kast', 'José Antonio Kast']"
6696,  Gabriel Boric  “Cada vez que me junto con un alcalde salgo trasquilado”: la coloquial intervención del Presidente Boric en Illapel,"['Gabriel Boric', 'Presidente Boric']"
6708,  Felipe Kast  “La ministra está desesperada”: Felipe Kast arremete contra Tohá por veto a ley de usurpaciones y controversia por sanciones a campamentos ,"['Felipe Kast', 'Felipe Kast']"
6723,  Felipe Kast  Revisión al veto a Usurpaciones: Felipe Kast dice que poner discusión inmediata “es una provocación” del gobierno e insta a Tohá a explicarlo,"['Felipe Kast  Revisión', 'Felipe Kast']"
6761,  Frente Amplio  Elecciones de Revolución Democrática: partido será encabezado por Diego Vela y Tatiana Urrutia,"['Diego Vela', 'Tatiana Urrutia']"
6767,"  Felipe Kast  Ley de Usurpaciones: senador Felipe Kast, presidente de la comisión de Seguridad, dice que veto “marca un antes y un después” en la relación con el gobierno","['Felipe Kast', 'Ley de Usurpaciones', 'Felipe Kast']"
6789,  Catalina Pérez  RN aumenta ofensiva contra Catalina Pérez y pide a fiscal de Antofagasta acelerar investigación e iniciar formalizaciones por Democracia Viva,"['Catalina Pérez  RN', 'Catalina Pérez']"
6791,  Catalina Pérez  “Sabía de los convenios con Democracia Viva”: oposición arremete contra diputada Catalina Pérez por declaración de secretario ejecutivo de RD,"['Catalina Pérez', 'Catalina Pérez']"
6804,  Política  “No todo vale” y “declaraciones inaceptables”: Presidente Boric y José Antonio Kast respaldan a Evelyn Matthei tras amenazas de youtuber Pedro Pool,"['Presidente Boric', 'José Antonio Kast', 'Evelyn Matthei', 'Pedro Pool']"
6856,  Política  Partido Comunista define su nueva directiva: Lautaro Carmona como presidente y Bárbara Figueroa de secretaria general,"['Lautaro Carmona', 'Bárbara Figueroa']"
6861,"  Catalina Pérez  Democracia Viva: abogado de Catalina Pérez asegura que diputada “jamás intercedió por nadie para la consecución de convenios, contratos o trabajo”","['Catalina Pérez  Democracia Viva', 'Catalina Pérez']"
6874, Consejo Constitucional  “No creo que haya en esta sala alguien que no se estremezca con su historia”: el gesto del republicano Paul Sfeir al PS Alejandro Köhler en el Consejo Constitucional ,"['Paul Sfeir', 'Alejandro Köhler']"
6897,"  Gabriel Boric  Tras impasse en cumbre de enero: Boric se reunió con presidenta de Perú, Dina Boluarte, en la previa de la Asamblea General de la ONU","['Gabriel Boric', 'Dina Boluarte']"
6932,  Giorgio Jackson  Antonia Orellana tras cena de reconocimiento a Giorgio Jackson: “Se va a demostrar la mezquindad y la injusticia de las acusaciones que se le hicieron”,"['Giorgio Jackson', 'Antonia Orellana', 'Giorgio Jackson']"
6934,"  Giorgio Jackson  Boric encabeza cena de reconocimiento a Giorgio Jackson junto a ministros, parlamentarios y alcaldes oficialistas","['Giorgio Jackson  Boric', 'Giorgio Jackson']"
6957,  11-S  “Una señal equívoca”: la respuesta de Ignacio Walker a declaración de Alberto Undurraga sobre el rol de la DC en el Golpe de Estado,"['Ignacio Walker', 'Alberto Undurraga']"
6980,  Michelle Bachelet  Expresidenta Bachelet y conmemoración de los 50 años del Golpe: “Los partidos políticos de derecha no han estado a la altura”,"['Michelle Bachelet', 'Expresidenta Bachelet']"
7015,  Sebastián Piñera  Gabriel Boric: “No tengo ninguna duda que el Presidente Piñera es un demócrata”,"['Sebastián Piñera', 'Gabriel Boric']"
7080,"  Política  Líos de platas: querella del CDE contra Democracia Viva advierte vínculos entre Catalina Pérez, Daniel Andrade y Carlos Contreras","['Catalina Pérez', 'Daniel Andrade', 'Carlos Contreras']"
7085, Gabriel Boric  “Qué bueno que se sepa de manera clara y categórica”: la reacción del Presidente Boric al enterarse del informe de Contraloría ,"['Gabriel Boric', 'Presidente Boric']"
7095,"  Política  Líos de platas: querella del CDE contra Democracia Viva advierte vínculos entre Catalina Pérez, Daniel Andrade y Carlos Contreras","['Catalina Pérez', 'Daniel Andrade', 'Carlos Contreras']"
7100, Gabriel Boric  “Qué bueno que se sepa de manera clara y categórica”: la reacción del Presidente Boric al enterarse del informe de Contraloría ,"['Gabriel Boric', 'Presidente Boric']"
7120,  Javier Macaya  Macaya (UDI) le responde al Presidente Boric por ausencia en ceremonia del Plan Nacional de Búsqueda: “No fuimos invitados a ese acto”,"['Javier Macaya  Macaya', 'Presidente Boric']"
7131,  Guillermo Teillier  Bachelet por muerte de Guillermo Teillier: “Fue una figura emblemática y fundamental en la historia reciente de nuestro país”,"['Guillermo Teillier  Bachelet', 'Guillermo Teillier']"
7133, Gabriel Boric  “Inclaudicablemente demócrata” y “gran sentido de Estado”: Presidente Boric destaca desde La Moneda legado del líder comunista Guillermo Teillier,"['Gabriel Boric', 'Presidente Boric', 'Guillermo Teillier']"
7136,"  Guillermo Teillier  “Valiente”, “perseverante” y “patriota”: miembros del PC llegan a la sede del partido y destacan la figura de su presidente, Guillermo Teillier tras su muerte ","['Guillermo Teillier', 'Guillermo Teillier']"
7138,"  Política  Diputada Karol Cariola por Guillermo Teillier: “Estamos consternados por la partida de nuestro compañero, un hombre al que le reconocemos muchas cosas, no sólo por el trabajo político”","['Karol Cariola', 'Guillermo Teillier']"
7152,  Paulina Núñez   Senadora Paulina Núñez (RN) sobre Pinochet: “No tengo ningún problema en llamarlo dictador” ,"['Paulina Núñez', 'Senadora Paulina Núñez']"
7157,"  Ricardo Cifuentes  Ricardo Cifuentes (DC) sobre pacto fiscal y pensiones: “Chile necesita reformas estructurales pronto, para cerrar el capítulo”","['Ricardo Cifuentes', 'Ricardo Cifuentes']"
7174,"  Belisario Velasco  Jorge Donoso, integrante del Grupo de los 13, sobre Belisario Velasco: “Destaco su generosidad, su valentía para enfrentar la dictadura”","['Belisario Velasco  Jorge Donoso', 'Belisario Velasco']"
7175,"  Belisario Velasco  Clase política lamenta muerte de Belisario Velasco, histórico líder DC y exministro del Interior","['Belisario Velasco  Clase', 'Belisario Velasco']"
7195,  Catalina del Real  Otra baja en RN: diputada Catalina del Real renuncia al partido,"['Catalina del Real', 'Catalina del Real']"
7207,  Política  El tenso intercambio entre Gonzalo de la Carrera y Carmen Hertz por foto de su marido ejecutado en dictadura,"['Gonzalo de la Carrera', 'Carmen Hertz']"
7219,  Katherine Montealegre  Katherine Montealegre (UDI): “Las circunstancias que se dieron justificaban el Golpe”,"['Katherine Montealegre', 'Katherine Montealegre']"
7254," Michelle Bachelet  Michelle Bachelet y su intención de cerrar Punta Peuco: “Di la orden, no se produjo, no me hicieron caso”","['Michelle Bachelet', 'Michelle Bachelet']"
7255,  Camila Vallejo  Todos menos Catalina Pérez: la carta de invitación a Antofagasta en que la Segegob no consideró a la diputada y sí a la oposición,"['Camila Vallejo  Todos', 'Catalina Pérez']"
7273,  Política  Cambio de gabinete: exconvencional Ricardo Montero reemplaza a Víctor Barrueto en la Subsecretaría de Defensa,"['Ricardo Montero', 'Víctor Barrueto']"
7275,  Cambio de gabinete  Aurora Williams retorna al Ministerio de Minería: reemplazará a Marcela Hernando,"['Aurora Williams', 'Marcela Hernando']"
7277,"  Cambio de Gabinete  Cambio de gabinete: quién es Francisca Perales, la nueva Subdere que asume en reemplazo de Nicolás Cataldo","['Francisca Perales', 'Nicolás Cataldo']"
7278,  Cambio de gabinete  Cambio de gabinete: Javiera Toro deja Bienes Nacionales y reemplazará a Giorgio Jackson en Desarrollo Social ,"['Javiera Toro', 'Giorgio Jackson', 'Desarrollo Social']"
7317,  Alberto Espina  Hospitalizan de urgencia a exministro Alberto Espina tras sufrir descompensación,"['Alberto Espina  Hospitalizan', 'Alberto Espina']"
7324,  Giorgio Jackson  “Ha sido un acto de nobleza”: la minuta de la Secom sobre la renuncia de Giorgio Jackson,"['Giorgio Jackson', 'Giorgio Jackson']"
7325,  Política  “Tu decisión es un gesto muy generoso”: Camila Vallejo agradece a Giorgio Jackson su labor tras renunciar al Mideso,"['Camila Vallejo', 'Giorgio Jackson']"
7327,  Política  Tras renuncia de Jackson: subsecretaria Paula Poblete asume como ministra subrogante de Desarrollo Social,"['Paula Poblete', 'Desarrollo Social']"
7331,  Giorgio Jackson  La carta de despedida de Giorgio Jackson: “No permitiré que haya sectores políticos que se escuden en estos argumentos para justificar su obstruccionismo”,"['Giorgio Jackson', 'Giorgio Jackson']"
7334, Giorgio Jackson  Adiós definitivo del gabinete: Giorgio Jackson renuncia al Ministerio de Desarrollo Social,"['Giorgio Jackson', 'Giorgio Jackson']"
7342,"  Política  Castro (RN) dice que Fidel Espinoza, Catalina Pérez y Javiera Martínez podrían ser los primeros invitados a la comisión investigadora por líos de platas","['Fidel Espinoza', 'Catalina Pérez', 'Javiera Martínez']"
7346,  Giorgio Jackson  “Se aporta más dando un paso al costado” y “es una persecución”: presidentes del oficialismo se enfrentan sobre futuro de Giorgio Jackson,"['Giorgio Jackson', 'Giorgio Jackson']"
7367,"  Política  Jackson, Montes, Camila Polizzi, Daniel Andrade y exautoridades entre invitados a comisión investigadora sobre fundaciones","['Camila Polizzi', 'Daniel Andrade']"
7397,  Catalina Pérez  “Por su conocimiento de los hechos” y “minimizar la situación”: los argumentos de la Comisión de Ética de la Cámara para sancionar a Catalina Pérez ,"['Catalina Pérez', 'Catalina Pérez']"
7423,  Daniel Jadue  Alcalde Jadue tras dichos de Ángel Valencia: “Nunca un fiscal podría descartar una formalización en una investigación” ,"['Daniel Jadue  Alcalde Jadue', 'Ángel Valencia']"
7443,  Giorgio Jackson  Cámara de Diputados acuerda pedir la renuncia de Giorgio Jackson con desmarques oficialistas,"['Giorgio Jackson', 'Giorgio Jackson']"
7473,  Paz Suárez  PPD levanta suspensión a Paz Suárez por dichos contra ministra Tohá ,"['Paz Suárez', 'Paz Suárez']"
7536,"  Carlos Ruíz  Tohá y detención de Carlos Ruiz, ideólogo del Frente Amplio por violencia intrafamiliar: “Es lamentable e inquietante”","['Carlos Ruíz  Tohá', 'Carlos Ruiz']"
7644,  Fidel Espinoza  El tenso cruce entre Fidel Espinoza (PS) y Diego Ibáñez (CS) tras robo en el Ministerio de Desarrollo Social,"['Fidel Espinoza  El tenso cruce', 'Fidel Espinoza', 'Diego Ibáñez']"
7647,  Salvador Allende  Boric valora la figura de Salvador Allende ante exiliados chilenos en París y llama a comparar los homenajes que le hacen al expresidente frente a los de “su vil sucesor”,"['Salvador Allende  Boric', 'Salvador Allende']"
7654,"  Lula da Silva  Senador José Miguel Insulza (PS): “A Lula lo respeto, pero es una mala costumbre empezar a hablar de otros presidentes”","['Lula da Silva  Senador', 'José Miguel Insulza']"
7717,  Camila Vallejo  Críticas transversales a Vallejo y Etcheverry en el Congreso: la arremetida de senadores PS y de oposición por Comisión contra la Desinformación  ,"['Camila Vallejo  Críticas', 'Vallejo y Etcheverry']"
7727,  Política  Senador Rodrigo Galilea oficializa lista para competir en interna de RN: se enfrentará a Paulina Núñez y Francisco Orrego,"['Rodrigo Galilea', 'Paulina Núñez', 'Francisco Orrego']"
